R18B1402.275273
U-C_VOL_ 14/11/2018 02:27:51 14/11/2018 02:27:51 0170 23.7534 38.0631 -4.6 112.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  7.9782	 51.4286	  0.0000	  0.0000	  9.0890	162.8571	  0.0000	  0.0000	 60.0000	  0.0000
  7.9782	105.7143	  0.0000	  0.0000	  9.1047	217.1429	  0.0000	  0.0000	 94.2857	  0.0000
  7.9346	122.8571	  0.0000	  0.0000	  9.0925	205.7143	  0.0000	  0.0000	102.8571	  0.0000
  7.9956	114.2857	  0.0000	  0.0000	  9.0908	228.5714	  0.0000	  0.0000	 91.4286	  0.0000
  7.9782	100.0000	  0.0000	  0.0000	  9.0942	234.2857	  0.0000	  0.0000	114.2857	  0.0000
  7.8735	160.0000	  0.0000	  0.0000	  9.0873	271.4286	  0.0000	  0.0000	168.5714	  0.0000
  8.0392	220.0000	  0.0000	  0.0000	  9.0820	274.2857	  0.0000	  0.0000	242.8571	  0.0000
  8.1787	260.0000	  0.0000	  0.0000	  9.1343	251.4286	  0.0000	  0.0000	277.1429	  0.0000
  7.9956	294.2857	  0.0000	  0.0000	  9.1867	277.1429	  0.0000	  0.0000	274.2857	  0.0000
  8.1961	277.1429	  0.0000	  0.0000	 10.3603	254.2857	  0.0000	  0.0000	268.5714	  0.0000
  9.1814	285.7143	  0.0000	  0.0000	 14.0538	251.4286	  0.0000	  0.0000	265.7143	  0.0000
 10.3847	251.4286	  0.0000	  0.0000	 17.3880	260.0000	  0.0000	  0.0000	268.5714	  0.0000
 10.5940	288.5714	  0.0000	  0.0000	 18.0629	280.0000	  0.0000	  0.0000	245.7143	  0.0000
