R18A1801.235441
U-C_VOL_ 18/10/2018 01:23:54 18/10/2018 01:23:54 0170 23.7534 38.0631 -8.4 142.0 15.0 1013.0
22.0 162.0 30.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  8.9286	108.5714	  0.0000	  0.0000	  9.3384	205.7143	  0.0000	  0.0000	 77.1429	  0.0000
  8.8937	120.0000	  0.0000	  0.0000	  9.3262	211.4286	  0.0000	  0.0000	 74.2857	  0.0000
  8.8937	111.4286	  0.0000	  0.0000	  9.3419	208.5714	  0.0000	  0.0000	 74.2857	  0.0000
  8.9111	 94.2857	  0.0000	  0.0000	  9.3436	202.8571	  0.0000	  0.0000	 71.4286	  0.0000
  8.9634	 94.2857	  0.0000	  0.0000	  9.3384	205.7143	  0.0000	  0.0000	 94.2857	  0.0000
  8.8065	 82.8571	  0.0000	  0.0000	  9.3349	251.4286	  0.0000	  0.0000	128.5714	  0.0000
  8.9547	140.0000	  0.0000	  0.0000	  9.3454	285.7143	  0.0000	  0.0000	214.2857	  0.0000
  9.0681	185.7143	  0.0000	  0.0000	  9.4169	271.4286	  0.0000	  0.0000	237.1429	  0.0000
  9.0070	225.7143	  0.0000	  0.0000	  9.5058	265.7143	  0.0000	  0.0000	242.8571	  0.0000
  9.8092	248.5714	  0.0000	  0.0000	 11.2165	265.7143	  0.0000	  0.0000	257.1429	  0.0000
 11.2217	257.1429	  0.0000	  0.0000	 15.4681	291.4286	  0.0000	  0.0000	254.2857	  0.0000
 11.2305	251.4286	  0.0000	  0.0000	 17.3357	262.8571	  0.0000	  0.0000	257.1429	  0.0000
 10.6986	294.2857	  0.0000	  0.0000	 15.8726	294.2857	  0.0000	  0.0000	274.2857	  0.0000
 10.6899	280.0000	  0.0000	  0.0000	 15.3704	285.7143	  0.0000	  0.0000	271.4286	  0.0000
 10.7335	274.2857	  0.0000	  0.0000	 17.0515	271.4286	  0.0000	  0.0000	271.4286	  0.0000
 11.0822	288.5714	  0.0000	  0.0000	 23.2823	280.0000	  0.0000	  0.0000	277.1429	  0.0000
 13.4975	274.2857	  0.0000	  0.0000	 42.8449	277.1429	  0.0000	  0.0000	242.8571	  0.0000
 18.5372	277.1429	  0.0000	  0.0000	 72.3580	285.7143	  0.0000	  0.0000	285.7143	  0.0000
 26.3672	257.1429	  0.0000	  0.0000	100.0000	265.7143	  0.0000	  0.0000	285.7143	  0.0000
 37.9203	288.5714	  0.0000	  0.0000	128.2872	271.4286	  0.0000	  0.0000	280.0000	  0.0000
 50.0052	282.8571	  0.0000	  0.0000	159.7238	268.5714	  0.0000	  0.0000	271.4286	  0.0000
 58.5066	277.1429	  0.0000	  0.0000	182.8474	282.8571	  0.0000	  0.0000	251.4286	  0.0000
 66.5283	277.1429	  0.0000	  0.0000	191.6347	262.8571	  0.0000	  0.0000	262.8571	  0.0000
 72.9632	274.2857	  0.0000	  0.0000	192.7909	268.5714	  0.0000	  0.0000	265.7143	  0.0000
 77.0089	251.4286	  0.0000	  0.0000	192.8101	257.1429	  0.0000	  0.0000	265.7143	  0.0000
 83.0601	280.0000	  0.0000	  0.0000	192.8101	262.8571	  0.0000	  0.0000	285.7143	  0.0000
 88.6754	265.7143	  0.0000	  0.0000	192.8101	260.0000	  0.0000	  0.0000	288.5714	  0.0000
 90.4803	280.0000	  0.0000	  0.0000	192.8101	280.0000	  0.0000	  0.0000	271.4286	  0.0000
 89.7042	268.5714	  0.0000	  0.0000	192.8101	262.8571	  0.0000	  0.0000	268.5714	  0.0000
 96.7233	262.8571	  0.0000	  0.0000	192.8101	285.7143	  0.0000	  0.0000	271.4286	  0.0000
100.6383	285.7143	  0.0000	  0.0000	192.8101	274.2857	  0.0000	  0.0000	251.4286	  0.0000
 95.2323	282.8571	  0.0000	  0.0000	192.8101	265.7143	  0.0000	  0.0000	260.0000	  0.0000
 95.3718	271.4286	  0.0000	  0.0000	192.8101	265.7143	  0.0000	  0.0000	260.0000	  0.0000
 94.5783	274.2857	  0.0000	  0.0000	192.8101	271.4286	  0.0000	  0.0000	260.0000	  0.0000
 87.6814	251.4286	  0.0000	  0.0000	192.8101	262.8571	  0.0000	  0.0000	297.1429	  0.0000
 82.5108	285.7143	  0.0000	  0.0000	192.8101	282.8571	  0.0000	  0.0000	257.1429	  0.0000
 81.8656	251.4286	  0.0000	  0.0000	192.8101	254.2857	  0.0000	  0.0000	271.4286	  0.0000
 84.5511	282.8571	  0.0000	  0.0000	192.8101	282.8571	  0.0000	  0.0000	265.7143	  0.0000
 87.6116	268.5714	  0.0000	  0.0000	192.8101	245.7143	  0.0000	  0.0000	268.5714	  0.0000
 86.8879	271.4286	  0.0000	  0.0000	192.8101	277.1429	  0.0000	  0.0000	291.4286	  0.0000
 83.7838	240.0000	  0.0000	  0.0000	192.8101	248.5714	  0.0000	  0.0000	274.2857	  0.0000
 78.9185	268.5714	  0.0000	  0.0000	192.8101	285.7143	  0.0000	  0.0000	251.4286	  0.0000
 73.7217	265.7143	  0.0000	  0.0000	192.3357	288.5714	  0.0000	  0.0000	260.0000	  0.0000
 71.0275	277.1429	  0.0000	  0.0000	189.6380	265.7143	  0.0000	  0.0000	294.2857	  0.0000
 71.1147	260.0000	  0.0000	  0.0000	186.4205	282.8571	  0.0000	  0.0000	248.5714	  0.0000
 70.1904	268.5714	  0.0000	  0.0000	182.4881	257.1429	  0.0000	  0.0000	274.2857	  0.0000
 66.5894	268.5714	  0.0000	  0.0000	177.8251	260.0000	  0.0000	  0.0000	268.5714	  0.0000
 63.9561	268.5714	  0.0000	  0.0000	175.0157	271.4286	  0.0000	  0.0000	277.1429	  0.0000
 63.2324	260.0000	  0.0000	  0.0000	169.5435	274.2857	  0.0000	  0.0000	260.0000	  0.0000
 61.9856	254.2857	  0.0000	  0.0000	163.4399	277.1429	  0.0000	  0.0000	262.8571	  0.0000
 59.7709	268.5714	  0.0000	  0.0000	157.5422	271.4286	  0.0000	  0.0000	254.2857	  0.0000
 57.1899	271.4286	  0.0000	  0.0000	152.0909	285.7143	  0.0000	  0.0000	251.4286	  0.0000
 54.6875	268.5714	  0.0000	  0.0000	146.6309	280.0000	  0.0000	  0.0000	262.8571	  0.0000
 52.3333	248.5714	  0.0000	  0.0000	141.0732	262.8571	  0.0000	  0.0000	257.1429	  0.0000
 50.2930	274.2857	  0.0000	  0.0000	136.1293	265.7143	  0.0000	  0.0000	268.5714	  0.0000
