S1533010.025353
Kangaroa 30/03/2015 10:02:52 30/03/2015 10:02:53 0560 0176.5 0038.5 -2.20 0.00 22.0 1013.0
-2.5 -2.5 00.0  00.0 -2.6 00.2  00.0
0000020 0020 0000000 0000 02
1 0 1 16340 1 0780 7.50 00355.o 0 0 00 000 12 000020 0.500 BT0
1 1 1 16340 1 0750 7.50 00355.p 0 0 00 000 00 000020 4.3651 BC0
355.000 .o analog 0 	355.000 .p photon 0 
  4.4800	 22.0000
  4.4556	 32.0000
  4.4800	 27.0000
  4.4250	 60.0000
  4.4556	117.0000
  4.4800	137.0000
  4.6448	145.0000
  5.1331	152.0000
  4.8218	144.0000
  5.0110	139.0000
  4.9988	153.0000
  5.4321	152.0000
  7.7881	146.0000
 13.5803	150.0000
 23.7000	150.0000
 35.0525	144.0000
 46.2402	148.0000
 54.9255	144.0000
 60.6628	143.0000
 64.1724	157.0000
 67.5476	140.0000
 67.9871	149.0000
 69.0369	158.0000
 71.1548	141.0000
 70.3430	144.0000
 70.1965	145.0000
 69.2017	154.0000
 66.9983	141.0000
 65.3809	142.0000
 61.4807	140.0000
 58.5388	150.0000
 56.1096	147.0000
 52.0386	135.0000
 49.2126	141.0000
 46.6248	141.0000
 43.4570	131.0000
 40.2710	144.0000
 37.7625	135.0000
 36.2671	139.0000
 34.3933	134.0000
 32.8857	134.0000
 31.4636	129.0000
 29.5288	134.0000
 28.0945	140.0000
 26.9836	130.0000
 25.4822	121.0000
 24.9268	135.0000
 23.9258	134.0000
 23.2361	136.0000
 21.9788	132.0000
 21.1548	133.0000
 20.8191	135.0000
 19.8669	136.0000
 18.8293	130.0000
 18.7622	127.0000
 17.5415	132.0000
 17.5171	125.0000
 17.0044	134.0000
 16.1987	123.0000
 15.7471	132.0000
 15.1978	117.0000
 15.1855	131.0000
 14.3616	122.0000
 14.0930	120.0000
 13.7512	120.0000
 13.5132	115.0000
 13.5864	118.0000
 13.2080	124.0000
 12.5427	107.0000
 12.1948	122.0000
 11.9751	115.0000
 12.1338	113.0000
 11.7554	111.0000
 11.4624	112.0000
 11.5173	116.0000
 11.0474	111.0000
 10.5774	106.0000
 10.5957	108.0000
 10.4431	107.0000
 10.1196	105.0000
 10.1440	111.0000
  9.9731	106.0000
  9.9060	105.0000
  9.4910	101.0000
  9.6863	 94.0000
  9.2773	102.0000
  9.1003	 93.0000
  9.1614	109.0000
  8.9233	102.0000
  9.0698	 96.0000
  8.8257	 93.0000
  8.5815	 94.0000
  8.4290	 90.0000
  8.5632	 88.0000
  8.3069	 92.0000
  8.1970	100.0000
  8.1482	 97.0000
  8.2825	 87.0000
  8.2153	 88.0000
  7.9224	 94.0000
  7.9163	 84.0000
  7.7393	 92.0000
  7.5317	 89.0000
  7.9041	 88.0000
  7.8064	 88.0000
  7.6904	 80.0000
  7.4707	 96.0000
  7.5378	 76.0000
  7.4890	 72.0000
  7.2510	 85.0000
  7.2083	 82.0000
  7.2876	 90.0000
  7.2388	 94.0000
  7.1350	 71.0000
  6.9153	 81.0000
  6.8848	 82.0000
  7.0129	 83.0000
  6.8115	 80.0000
  6.8237	 75.0000
  6.9092	 89.0000
  6.8481	 84.0000
  6.6895	 61.0000
  6.5735	 77.0000
  6.7810	 77.0000
  6.6589	 68.0000
  6.4941	 74.0000
  6.3843	 68.0000
  6.6772	 67.0000
  6.7566	 62.0000
  6.5369	 69.0000
  6.4697	 72.0000
  6.5125	 61.0000
  6.5735	 64.0000
  6.3843	 66.0000
  6.3782	 58.0000
  6.2927	 62.0000
  6.2439	 68.0000
  6.3538	 60.0000
  6.2012	 59.0000
  6.2134	 63.0000
  6.1462	 60.0000
  6.1096	 54.0000
  6.2134	 55.0000
  5.9387	 55.0000
  6.0425	 63.0000
  5.9204	 57.0000
  5.8838	 48.0000
  5.9692	 52.0000
  5.9509	 55.0000
  5.9631	 49.0000
  5.7678	 47.0000
  5.9204	 49.0000
  5.8411	 49.0000
  5.7495	 50.0000
  5.6885	 61.0000
  5.6702	 57.0000
  5.6702	 54.0000
  5.6763	 45.0000
  5.5969	 51.0000
  5.6885	 58.0000
  5.6580	 44.0000
  5.6396	 47.0000
  5.6946	 49.0000
  5.6458	 51.0000
  5.6396	 41.0000
  5.5664	 44.0000
  5.5847	 37.0000
  5.6152	 48.0000
  5.5298	 39.0000
  5.5542	 44.0000
  5.5359	 50.0000
  5.6091	 60.0000
  5.5725	 46.0000
  5.3284	 47.0000
  5.4687	 45.0000
  5.4016	 43.0000
  5.4382	 47.0000
  5.4504	 49.0000
  5.4993	 39.0000
  5.6763	 41.0000
  5.6030	 42.0000
  5.4749	 47.0000
  5.4016	 43.0000
  5.5603	 49.0000
  5.5481	 51.0000
  5.3894	 39.0000
  5.4626	 41.0000
  5.3894	 44.0000
  5.4443	 37.0000
  5.4321	 45.0000
  5.4749	 42.0000
  5.3955	 35.0000
  5.4138	 37.0000
  5.4260	 40.0000
  5.4138	 39.0000
  5.3955	 36.0000
  5.3101	 37.0000
  5.2795	 36.0000
  5.2124	 31.0000
  5.2124	 38.0000
  5.2856	 31.0000
  5.3711	 43.0000
  5.2673	 44.0000
  5.2307	 33.0000
  5.2551	 43.0000
  5.3345	 40.0000
  5.1514	 51.0000
  5.1880	 34.0000
  5.2429	 40.0000
  5.3345	 43.0000
  5.3589	 34.0000
  5.2551	 39.0000
  5.3223	 32.0000
  5.3101	 38.0000
  5.4077	 35.0000
  5.2063	 35.0000
  5.2368	 38.0000
  5.2856	 36.0000
  5.2490	 29.0000
  5.2246	 36.0000
  5.2551	 31.0000
  5.2307	 38.0000
  5.1880	 37.0000
  5.2002	 39.0000
  5.2979	 35.0000
  5.2002	 30.0000
  5.1514	 33.0000
  5.1636	 31.0000
  5.2368	 35.0000
  5.1514	 29.0000
  5.2246	 39.0000
  5.2551	 31.0000
  5.1514	 27.0000
  5.0842	 17.0000
  5.1392	 24.0000
  5.1086	 30.0000
  5.1758	 30.0000
  5.2063	 18.0000
  5.0964	 28.0000
  5.1270	 27.0000
  4.9988	 31.0000
  5.0476	 23.0000
  4.8950	 21.0000
  5.0537	 20.0000
  5.0476	 25.0000
  4.9500	 15.0000
  4.9805	 24.0000
  4.9927	 32.0000
  4.9744	 21.0000
  4.9866	 22.0000
  4.9072	 30.0000
  4.9011	 21.0000
  4.9683	 24.0000
  4.9866	 20.0000
  4.8889	 24.0000
  4.9866	 27.0000
  4.9866	 20.0000
  4.9683	 26.0000
  4.9988	 22.0000
  4.9438	 24.0000
  4.9622	 29.0000
  4.9683	 21.0000
  5.0232	 19.0000
  4.9683	 17.0000
  4.9011	 24.0000
  4.9194	 14.0000
  4.9377	 25.0000
  4.9927	 16.0000
  5.0354	 20.0000
  4.9683	 27.0000
  4.9011	 23.0000
  4.9438	 19.0000
  4.8767	 15.0000
  4.8950	 20.0000
  4.8645	 22.0000
  4.8950	 19.0000
  4.8462	 15.0000
  4.8706	 20.0000
  4.8462	 19.0000
  4.9072	 15.0000
  4.8218	 16.0000
  4.8401	 21.0000
  4.8767	 19.0000
  4.8462	 22.0000
  4.8279	 20.0000
  4.7729	 17.0000
  4.8645	 14.0000
  4.8889	 12.0000
  4.7668	 15.0000
  4.8035	 21.0000
  4.8035	 14.0000
  4.8096	 20.0000
  4.8218	 23.0000
  4.8401	 13.0000
  4.8035	 16.0000
  4.7546	 16.0000
  4.7119	 16.0000
  4.7852	  9.0000
  4.8096	 13.0000
  4.7668	 15.0000
  4.9011	 15.0000
  4.7791	 14.0000
  4.7302	 17.0000
  4.8706	 10.0000
  4.7180	 10.0000
  4.7363	 15.0000
  4.7119	 12.0000
  4.7241	 24.0000
  4.7913	 18.0000
  4.7119	 12.0000
  4.7485	 18.0000
  4.7607	 11.0000
  4.7058	 17.0000
  4.7058	 10.0000
  4.7546	 10.0000
  4.8279	 16.0000
  4.8706	 10.0000
  4.8279	 22.0000
  4.7913	  8.0000
  4.7485	 18.0000
  4.7180	 10.0000
  4.7729	 22.0000
  4.7119	 16.0000
  4.7241	 10.0000
  4.8096	 18.0000
  4.8096	 16.0000
  4.7363	 19.0000
  4.7791	  7.0000
  4.8096	 19.0000
  4.7241	 12.0000
  4.7546	 13.0000
  4.7363	 20.0000
  4.7241	 12.0000
  4.7974	 12.0000
  4.8035	 18.0000
  4.8096	 17.0000
  4.7729	 16.0000
  4.8035	 11.0000
  4.7180	 12.0000
  4.7363	 14.0000
  4.6753	 21.0000
  4.6814	 12.0000
  4.7241	  6.0000
  4.7607	 12.0000
  4.8340	 17.0000
  4.7485	 17.0000
  4.7241	 10.0000
  4.7729	 20.0000
  4.7485	 19.0000
  4.7668	  7.0000
  4.6997	  8.0000
  4.6631	  7.0000
  4.7546	 11.0000
  4.7302	 11.0000
  4.6814	 13.0000
  4.7180	 13.0000
  4.7791	 14.0000
  4.6570	 17.0000
  4.6936	 16.0000
  4.6509	 13.0000
  4.6509	 15.0000
  4.7668	 12.0000
  4.7485	 12.0000
  4.7485	  9.0000
  4.7852	 16.0000
  4.8096	 13.0000
  4.7607	 12.0000
  4.7607	  9.0000
  4.7180	 10.0000
  4.5959	  9.0000
  4.7180	 18.0000
  4.6692	  9.0000
  4.6692	  9.0000
  4.7180	  8.0000
  4.6814	  7.0000
  4.6692	  8.0000
  4.6021	  8.0000
  4.6021	  7.0000
  4.6875	  6.0000
  4.6997	  7.0000
  4.6021	  8.0000
  4.6509	 12.0000
  4.6448	 11.0000
  4.6509	  9.0000
  4.6082	 14.0000
  4.6387	  7.0000
  4.6692	  8.0000
  4.6387	  5.0000
  4.6265	  8.0000
  4.6387	  5.0000
  4.6387	  6.0000
  4.6326	  8.0000
  4.6753	  6.0000
  4.6326	  5.0000
  4.5654	 12.0000
  4.6082	 10.0000
  4.6326	 13.0000
  4.5959	  4.0000
  4.5654	  4.0000
  4.5654	  9.0000
  4.5715	  4.0000
  4.6021	  7.0000
  4.6326	  6.0000
  4.6448	  6.0000
  4.6387	  7.0000
  4.6265	  2.0000
  4.5959	  3.0000
  4.5959	  8.0000
  4.5959	  8.0000
  4.5715	  5.0000
  4.5532	 10.0000
  4.5959	  9.0000
  4.5532	  4.0000
  4.5593	  8.0000
  4.5227	  7.0000
  4.6021	  8.0000
  4.6265	  5.0000
  4.5715	  7.0000
  4.6021	  7.0000
  4.6021	  8.0000
  4.6204	  6.0000
  4.5898	  7.0000
  4.5837	 10.0000
  4.6143	  7.0000
  4.5959	  5.0000
  4.5593	  6.0000
  4.5837	 13.0000
  4.6265	  8.0000
  4.5959	  3.0000
  4.5959	  4.0000
  4.6387	  6.0000
  4.6021	 10.0000
  4.5593	  7.0000
  4.5776	  8.0000
  4.6936	  9.0000
  4.6204	  7.0000
  4.6265	 11.0000
  4.5715	  7.0000
  4.5837	  6.0000
  4.5959	  6.0000
  4.5715	  6.0000
  4.6265	  4.0000
  4.5959	  6.0000
  4.5715	  9.0000
  4.6448	  9.0000
  4.5715	  5.0000
  4.5532	  6.0000
  4.5776	  5.0000
  4.5776	  7.0000
  4.5715	  8.0000
  4.5959	  4.0000
  4.6204	  1.0000
  4.6326	  3.0000
  4.5593	  7.0000
  4.5837	  7.0000
  4.5898	  5.0000
  4.6692	  4.0000
  4.6082	  4.0000
  4.5898	  2.0000
