S1533010.022433
Kangaroa 30/03/2015 10:02:23 30/03/2015 10:02:24 0560 0176.5 0038.5 -1.00 0.00 22.0 1013.0
-2.5 -2.5 00.0  00.0 -2.6 00.2  00.0
0000020 0020 0000000 0000 02
1 0 1 16340 1 0780 7.50 00355.o 0 0 00 000 12 000020 0.500 BT0
1 1 1 16340 1 0750 7.50 00355.p 0 0 00 000 00 000020 4.3651 BC0
355.000 .o analog 0 	355.000 .p photon 0 
  4.4678	 19.0000
  4.4922	 22.0000
  4.4678	 32.0000
  4.4556	 58.0000
  4.4556	117.0000
  4.4434	130.0000
  4.6509	148.0000
  5.2246	147.0000
  4.8279	149.0000
  4.8767	152.0000
  5.0476	140.0000
  5.3101	156.0000
  7.6233	147.0000
 13.1653	150.0000
 22.4060	148.0000
 34.1492	148.0000
 45.0623	136.0000
 53.5950	146.0000
 59.3750	151.0000
 63.9404	151.0000
 65.4419	143.0000
 66.2659	146.0000
 68.7805	149.0000
 69.8608	148.0000
 69.8425	139.0000
 68.7256	156.0000
 67.3767	153.0000
 65.9790	149.0000
 63.5071	143.0000
 59.7961	134.0000
 56.9397	142.0000
 54.9622	138.0000
 51.2451	137.0000
 47.9065	139.0000
 46.1365	147.0000
 42.8284	142.0000
 40.2283	133.0000
 38.5254	140.0000
 35.8215	137.0000
 34.2712	145.0000
 32.6843	140.0000
 30.6213	136.0000
 28.9368	142.0000
 27.5574	134.0000
 27.1362	133.0000
 25.8728	143.0000
 24.6887	141.0000
 23.2971	130.0000
 22.5159	132.0000
 22.1558	133.0000
 21.1365	127.0000
 19.7632	131.0000
 19.5374	140.0000
 18.9087	136.0000
 17.9749	130.0000
 17.5781	129.0000
 17.2241	130.0000
 16.4368	124.0000
 16.4551	128.0000
 15.6555	123.0000
 14.9414	132.0000
 14.8437	125.0000
 14.3921	115.0000
 14.0259	117.0000
 14.0564	124.0000
 13.4033	130.0000
 13.2812	116.0000
 13.0493	124.0000
 12.8540	114.0000
 12.2253	118.0000
 11.8347	112.0000
 11.6577	122.0000
 11.4136	114.0000
 11.1511	106.0000
 11.1694	108.0000
 10.7239	106.0000
 10.8398	108.0000
 10.4187	112.0000
  9.9854	113.0000
  9.9976	110.0000
 10.1074	101.0000
  9.8755	100.0000
  9.5764	102.0000
  9.2896	109.0000
  9.4299	 95.0000
  9.2957	107.0000
  9.1492	 97.0000
  8.8928	 97.0000
  8.8257	 98.0000
  8.8745	101.0000
  8.8806	102.0000
  8.7891	100.0000
  8.4534	 97.0000
  8.4351	 94.0000
  8.3740	 87.0000
  8.3618	 91.0000
  8.1909	 91.0000
  8.1055	 92.0000
  8.1299	 87.0000
  7.9163	 86.0000
  8.0078	 83.0000
  7.6843	 85.0000
  7.5989	 87.0000
  7.7698	 83.0000
  7.7454	 98.0000
  7.5195	 89.0000
  7.4646	 85.0000
  7.3730	 79.0000
  7.1228	 78.0000
  7.0862	 85.0000
  7.3181	 69.0000
  7.0190	 79.0000
  7.1655	 93.0000
  7.1777	 85.0000
  6.9153	 80.0000
  7.0679	 72.0000
  6.8970	 84.0000
  6.7810	 77.0000
  6.7078	 75.0000
  6.7688	 72.0000
  6.5369	 77.0000
  6.7444	 72.0000
  6.8665	 68.0000
  6.7688	 64.0000
  6.5613	 64.0000
  6.6345	 63.0000
  6.4819	 71.0000
  6.5552	 59.0000
  6.6040	 77.0000
  6.5002	 64.0000
  6.4819	 70.0000
  6.4514	 70.0000
  6.4697	 54.0000
  6.3293	 69.0000
  6.3416	 64.0000
  6.2378	 62.0000
  6.1584	 57.0000
  6.0791	 67.0000
  5.9875	 55.0000
  6.0852	 58.0000
  5.9021	 54.0000
  6.0120	 62.0000
  6.0852	 64.0000
  5.9265	 61.0000
  5.9143	 49.0000
  5.9631	 50.0000
  5.8716	 52.0000
  5.7617	 39.0000
  5.8960	 63.0000
  5.8472	 51.0000
  5.8472	 51.0000
  5.7251	 47.0000
  5.7190	 48.0000
  5.5908	 47.0000
  5.7861	 49.0000
  5.5481	 50.0000
  5.7007	 56.0000
  5.8044	 59.0000
  5.7007	 59.0000
  5.6824	 52.0000
  5.6030	 52.0000
  5.7434	 59.0000
  5.6580	 55.0000
  5.5969	 55.0000
  5.7068	 44.0000
  5.7129	 47.0000
  5.7007	 52.0000
  5.7251	 48.0000
  5.6335	 49.0000
  5.6213	 43.0000
  5.6396	 55.0000
  5.7861	 44.0000
  5.5481	 42.0000
  5.5542	 38.0000
  5.4749	 58.0000
  5.6274	 48.0000
  5.6213	 43.0000
  5.4687	 45.0000
  5.4871	 43.0000
  5.5176	 41.0000
  5.4260	 50.0000
  5.4504	 42.0000
  5.4810	 37.0000
  5.6580	 36.0000
  5.4138	 43.0000
  5.4077	 49.0000
  5.4138	 42.0000
  5.4016	 43.0000
  5.5054	 48.0000
  5.4016	 49.0000
  5.3650	 47.0000
  5.3467	 47.0000
  5.3345	 43.0000
  5.3406	 49.0000
  5.3650	 40.0000
  5.4321	 34.0000
  5.4504	 45.0000
  5.5237	 40.0000
  5.4138	 41.0000
  5.4138	 38.0000
  5.4932	 43.0000
  5.4871	 45.0000
  5.4626	 44.0000
  5.3467	 48.0000
  5.3101	 36.0000
  5.4443	 34.0000
  5.3040	 32.0000
  5.3284	 41.0000
  5.2856	 41.0000
  5.3589	 37.0000
  5.4443	 37.0000
  5.3040	 30.0000
  5.3711	 39.0000
  5.2734	 29.0000
  5.2246	 43.0000
  5.1636	 38.0000
  5.2734	 32.0000
  5.2734	 20.0000
  5.2002	 31.0000
  5.1575	 37.0000
  5.2429	 32.0000
  5.1819	 27.0000
  5.2063	 36.0000
  5.2185	 39.0000
  5.1880	 41.0000
  5.0110	 25.0000
  5.0476	 36.0000
  5.1086	 34.0000
  5.0598	 28.0000
  5.0842	 26.0000
  5.1270	 35.0000
  5.1636	 34.0000
  5.1270	 38.0000
  5.2185	 34.0000
  5.0720	 29.0000
  5.1208	 31.0000
  5.0293	 27.0000
  4.9927	 32.0000
  5.0110	 31.0000
  5.0720	 29.0000
  5.0598	 19.0000
  5.0903	 25.0000
  5.0720	 23.0000
  5.0171	 29.0000
  5.0110	 34.0000
  4.9805	 18.0000
  5.0232	 22.0000
  5.0842	 25.0000
  4.9438	 23.0000
  4.9011	 24.0000
  4.9561	 23.0000
  4.9988	 22.0000
  5.0964	 21.0000
  4.9316	 24.0000
  4.9377	 16.0000
  4.9255	 15.0000
  4.9622	 27.0000
  4.9133	 20.0000
  4.9194	 19.0000
  4.9072	 18.0000
  4.8950	 17.0000
  4.8828	 26.0000
  4.9316	 19.0000
  4.8279	 26.0000
  4.8584	 27.0000
  4.9561	 22.0000
  4.8950	 30.0000
  4.8401	 21.0000
  4.8889	 28.0000
  4.8767	 30.0000
  4.9683	 22.0000
  4.8889	 27.0000
  4.9683	 20.0000
  4.9438	 24.0000
  4.9561	 19.0000
  4.9500	 23.0000
  4.9377	 20.0000
  4.9622	 28.0000
  4.9927	 27.0000
  4.9255	 14.0000
  4.9255	 20.0000
  4.9072	 11.0000
  4.8828	 18.0000
  4.8950	 27.0000
  4.9622	 32.0000
  4.9561	 32.0000
  5.0476	 22.0000
  4.9194	 23.0000
  4.9927	 18.0000
  4.8950	 15.0000
  4.8462	 17.0000
  4.9194	 15.0000
  5.0171	 18.0000
  4.9988	 13.0000
  4.9805	 20.0000
  4.9500	 24.0000
  4.8462	 17.0000
  4.8035	 18.0000
  4.8462	 22.0000
  4.8096	 23.0000
  4.7913	 15.0000
  4.7729	 15.0000
  4.7974	 19.0000
  4.8279	 19.0000
  4.9438	 17.0000
  4.8279	 17.0000
  4.8523	 15.0000
  4.8462	 14.0000
  4.9133	 16.0000
  4.8035	 19.0000
  4.8767	 21.0000
  4.8279	 18.0000
  4.8523	 16.0000
  4.9194	 17.0000
  4.8279	 14.0000
  4.7546	 17.0000
  4.7852	 18.0000
  4.8462	 21.0000
  4.8279	 22.0000
  4.8035	 12.0000
  4.7852	 20.0000
  4.8035	 12.0000
  4.8706	 16.0000
  4.7974	 20.0000
  4.8401	 16.0000
  4.8157	 14.0000
  4.8828	 21.0000
  4.7791	 17.0000
  4.8340	 17.0000
  4.8096	 12.0000
  4.7546	 17.0000
  4.8584	 12.0000
  4.8340	 12.0000
  4.7791	 16.0000
  4.7974	  7.0000
  4.7791	 18.0000
  4.8035	 16.0000
  4.7913	 19.0000
  4.6936	 11.0000
  4.7424	 21.0000
  4.7791	  8.0000
  4.7485	 11.0000
  4.7546	  8.0000
  4.7485	 16.0000
  4.8096	 12.0000
  4.7974	  9.0000
  4.7852	  9.0000
  4.7424	 16.0000
  4.7607	 11.0000
  4.6326	 16.0000
  4.7058	 11.0000
  4.6875	 14.0000
  4.7791	 11.0000
  4.6570	 17.0000
  4.6814	 10.0000
  4.7363	 11.0000
  4.6936	  7.0000
  4.6814	 12.0000
  4.6875	  6.0000
  4.7058	  6.0000
  4.6509	 14.0000
  4.7119	  6.0000
  4.7119	  6.0000
  4.6448	 12.0000
  4.6509	 13.0000
  4.6326	  6.0000
  4.6509	  7.0000
  4.6387	  8.0000
  4.6692	  9.0000
  4.6570	  7.0000
  4.5837	  6.0000
  4.7119	 11.0000
  4.6082	 10.0000
  4.6143	  6.0000
  4.6143	  9.0000
  4.6021	  8.0000
  4.6448	  8.0000
  4.6387	  9.0000
  4.6143	 13.0000
  4.5959	  7.0000
  4.6570	  8.0000
  4.6448	  8.0000
  4.6326	 12.0000
  4.5837	 15.0000
  4.6570	  9.0000
  4.6326	  7.0000
  4.6387	 15.0000
  4.6387	  6.0000
  4.6143	  9.0000
  4.6936	  4.0000
  4.6997	  9.0000
  4.7485	  7.0000
  4.7424	 12.0000
  4.6326	  7.0000
  4.7485	 15.0000
  4.6326	  7.0000
  4.6082	  9.0000
  4.6021	  7.0000
  4.6143	  8.0000
  4.6387	  7.0000
  4.6692	 10.0000
  4.6326	  4.0000
  4.6997	  7.0000
  4.6814	 19.0000
  4.6326	 16.0000
  4.6265	  9.0000
  4.6631	  8.0000
  4.6143	  9.0000
  4.7058	  7.0000
  4.6692	 13.0000
  4.6265	  9.0000
  4.7058	  7.0000
  4.7302	  7.0000
  4.7180	  8.0000
  4.6875	  8.0000
  4.6570	 10.0000
  4.6570	  6.0000
  4.5715	 10.0000
  4.6204	  5.0000
  4.6021	  6.0000
  4.5715	 10.0000
  4.6326	  7.0000
  4.5532	  6.0000
  4.5654	  7.0000
  4.5837	 10.0000
  4.6082	  9.0000
  4.6021	 13.0000
  4.5837	  5.0000
  4.6143	 13.0000
  4.6021	  4.0000
  4.5593	  7.0000
  4.5776	  9.0000
  4.6326	  7.0000
  4.6204	  8.0000
  4.6326	  8.0000
  4.6570	  9.0000
  4.6021	  8.0000
  4.6265	  9.0000
  4.5715	  8.0000
  4.5837	  4.0000
  4.5593	  6.0000
  4.5715	 10.0000
  4.6143	  5.0000
  4.6204	 12.0000
  4.6204	  7.0000
  4.5654	  4.0000
  4.6143	  8.0000
  4.5715	  7.0000
  4.5776	  4.0000
  4.6448	  6.0000
  4.6265	  3.0000
  4.6326	  3.0000
  4.6021	  9.0000
  4.5410	  8.0000
  4.5898	  9.0000
  4.5959	 12.0000
  4.5532	  9.0000
  4.5837	  5.0000
  4.5410	  6.0000
  4.5715	  8.0000
  4.5837	  7.0000
  4.5898	  4.0000
  4.5593	  5.0000
  4.5532	  6.0000
  4.6265	  7.0000
  4.5898	  5.0000
  4.5776	  7.0000
  4.5898	  5.0000
  4.5837	  8.0000
  4.6143	  3.0000
  4.5410	  3.0000
  4.5959	  4.0000
  4.5776	  6.0000
  4.6387	  3.0000
  4.5288	  4.0000
  4.5471	  5.0000
  4.5654	  5.0000
  4.6143	  3.0000
  4.5471	  3.0000
  4.5898	  7.0000
  4.5227	  2.0000
  4.5349	  4.0000
  4.5227	  6.0000
  4.5349	  2.0000
  4.5410	  4.0000
  4.5959	  2.0000
  4.5410	  5.0000
  4.5532	  4.0000
  4.5715	  3.0000
  4.5593	  5.0000
  4.5471	  3.0000
  4.5349	  4.0000
  4.5349	 13.0000
  4.5593	  5.0000
  4.5349	  2.0000
  4.5776	  3.0000
  4.5410	  1.0000
  4.5471	  3.0000
  4.5654	  6.0000
  4.5105	  6.0000
  4.5776	  3.0000
  4.6387	  8.0000
  4.4861	  6.0000
  4.5105	  5.0000
  4.5349	  5.0000
  4.5227	  5.0000
  4.5349	  4.0000
  4.5715	  1.0000
  4.5105	  2.0000
  4.5166	  3.0000
  4.5410	  6.0000
  4.5837	  6.0000
  4.5593	  2.0000
  4.4922	  4.0000
  4.5044	  4.0000
  4.5105	  6.0000
  4.5715	  4.0000
  4.5471	  6.0000
  4.5044	  5.0000
  4.5471	  7.0000
  4.5288	  7.0000
  4.5349	  4.0000
  4.5349	  4.0000
  4.5532	  3.0000
  4.5288	  1.0000
  4.5227	  8.0000
  4.5471	  7.0000
  4.5288	  7.0000
  4.5593	  1.0000
  4.5471	  3.0000
  4.5532	  3.0000
  4.5288	  8.0000
  4.4861	  5.0000
  4.5654	  0.0000
  4.5715	  5.0000
  4.6204	  4.0000
  4.5471	  3.0000
  4.5166	  8.0000
  4.5776	  3.0000
  4.5532	  4.0000
  4.5410	  4.0000
  4.5166	  2.0000
  4.4678	  2.0000
  4.5715	  1.0000
  4.5227	  0.0000
  4.5227	  3.0000
  4.5471	  2.0000
  4.5410	  1.0000
  4.5471	  4.0000
  4.5166	  2.0000
  4.5410	  5.0000
  4.5349	  2.0000
  4.5044	  6.0000
  4.5044	  3.0000
  4.5349	  2.0000
