R18B0722.543054
U-C_VOL_ 07/11/2018 22:54:29 07/11/2018 22:54:29 0170 23.7534 38.0631 0.0 112.0 15.0 1013.0
24.0 112.0 88.0  00.0 -10.0 00.2  00.0
0000014 0020 0000014 0000 10
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000014 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000014 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.p 0 0 09 000 12 000013 0.500 BT0
1 1 1 16380 1 0780 3.75 00355.p 0 0 00 000 00 000013 4.3651 BC0
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000014 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000014 4.3651 BC1
1 0 1 16380 1 0780 3.75 00355.s 0 0 09 000 12 000013 0.100 BT1
1 1 1 16380 1 0780 3.75 00355.s 0 0 00 000 00 000013 4.3651 BC1
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000014 4.3651 BC2
1 1 2 16380 1 0850 3.75 00387.o 0 0 00 000 00 000013 4.3651 BC2
355.000 .p analog 0 	355.000 .p photon 0 	355.000 .p analog 0 	355.000 .p photon 0 	355.000 .s analog 1 	355.000 .s photon 1 	355.000 .s analog 1 	355.000 .s photon 1 	387.000 .o photon 2 	387.000 .o photon 2 
  9.1989	 48.5714	  0.0000	  0.0000	  9.3436	128.5714	  0.0000	  0.0000	 62.8571	  0.0000
  9.1553	 88.5714	  0.0000	  0.0000	  9.3331	137.1429	  0.0000	  0.0000	108.5714	  0.0000
  9.1902	 82.8571	  0.0000	  0.0000	  9.3471	160.0000	  0.0000	  0.0000	 85.7143	  0.0000
  9.2076	 97.1429	  0.0000	  0.0000	  9.3558	182.8571	  0.0000	  0.0000	100.0000	  0.0000
  9.2337	140.0000	  0.0000	  0.0000	  9.3558	245.7143	  0.0000	  0.0000	168.5714	  0.0000
  9.0070	105.7143	  0.0000	  0.0000	  9.3715	 54.2857	  0.0000	  0.0000	165.7143	  0.0000
  9.2425	 51.4286	  0.0000	  0.0000	  9.3541	 60.0000	  0.0000	  0.0000	 74.2857	  0.0000
  9.3558	 25.7143	  0.0000	  0.0000	  9.3767	 17.1429	  0.0000	  0.0000	 17.1429	  0.0000
  9.0332	 77.1429	  0.0000	  0.0000	  9.3802	  0.0000	  0.0000	  0.0000	 71.4286	  0.0000
  9.3122	 74.2857	  0.0000	  0.0000	 10.0377	 62.8571	  0.0000	  0.0000	 11.4286	  0.0000
 10.3498	108.5714	  0.0000	  0.0000	 11.7240	 20.0000	  0.0000	  0.0000	  5.7143	  0.0000
 10.9079	 80.0000	  0.0000	  0.0000	 12.6430	 74.2857	  0.0000	  0.0000	  0.0000	  0.0000
 11.1520	 11.4286	  0.0000	  0.0000	 12.7407	 60.0000	  0.0000	  0.0000	  5.7143	  0.0000
 25.8266	 20.0000	  0.0000	  0.0000	 23.5875	 82.8571	  0.0000	  0.0000	  0.0000	  0.0000
434.4046	 20.0000	  0.0000	  0.0000	155.5681	102.8571	  0.0000	  0.0000	  0.0000	  0.0000
962.5593	  5.7143	  0.0000	  0.0000	192.8101	100.0000	  0.0000	  0.0000	  2.8571	  0.0000
481.6895	 11.4286	  0.0000	  0.0000	192.8101	111.4286	  0.0000	  0.0000	  2.8571	  0.0000
  0.0000	 11.4286	  0.0000	  0.0000	192.8101	 34.2857	  0.0000	  0.0000	  0.0000	  0.0000
 74.4454	  2.8571	  0.0000	  0.0000	192.8101	 57.1429	  0.0000	  0.0000	  2.8571	  0.0000
 87.0710	  5.7143	  0.0000	  0.0000	192.8101	 51.4286	  0.0000	  0.0000	  0.0000	  0.0000
  0.0000	  2.8571	  0.0000	  0.0000	192.8101	 48.5714	  0.0000	  0.0000	  0.0000	  0.0000
 28.4249	  8.5714	  0.0000	  0.0000	120.9159	 28.5714	  0.0000	  0.0000	  0.0000	  0.0000
 29.4974	  0.0000	  0.0000	  0.0000	  6.2256	 42.8571	  0.0000	  0.0000	  0.0000	  0.0000
  0.0000	  8.5714	  0.0000	  0.0000	 29.4032	 34.2857	  0.0000	  0.0000	  0.0000	  0.0000
 15.1367	 11.4286	  0.0000	  0.0000	 22.4139	 31.4286	  0.0000	  0.0000	  0.0000	  0.0000
 15.2326	  8.5714	  0.0000	  0.0000	  9.4953	 28.5714	  0.0000	  0.0000	  0.0000	  0.0000
  4.4033	  2.8571	  0.0000	  0.0000	 19.3551	 45.7143	  0.0000	  0.0000	  0.0000	  0.0000
 11.7885	  2.8571	  0.0000	  0.0000	 16.3853	 51.4286	  0.0000	  0.0000	  0.0000	  0.0000
